Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,74,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Não aplicável,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,80,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Classe de alfabetização - CA,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,41,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,64,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,2,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,19,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  500,00 "
Mulher,31,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  50,00 "," R$  50,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria," R$  60,00 "
Mulher,44,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,5,Branca,Não,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,18,Branca,Sim,Não aplicável,Não aplicável,Sim,Neto(a)," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,0,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,10,Parda,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,8,Não aplicável,8,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,39,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  800,00 "," R$  800,00 ",3,Regular do ensino fundamental ou do 1º grau,3,4 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  200,00 "
Homem,10,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Enteado(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,41,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,39,Parda,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,2,Superior - graduação,2,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Parda,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,2,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,34,Preta,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino fundamental ou do 1º grau,4,4 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.000,00 "
Mulher,63,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,31,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,61,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",4,Regular do ensino fundamental ou do 1º grau,4,2 anos de estudo,Conta-própria,Conta-própria," R$  1.500,00 "
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,12,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,51,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,47,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  750,00 "," R$  750,00 ",1,Não aplicável,1,Sem instrução e menos de 1 ano de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  700,00 "
Homem,81,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  500,00 "," R$  500,00 ",2,Antigo primário (elementar),2,3 anos de estudo,Conta-própria,Conta-própria," R$  100,00 "
Mulher,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,12,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Parda,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,32,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Superior - graduação,3,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,67,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,11 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,17,Parda,Sim,Segunda (o),Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,8,Não aplicável,8,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Avô ou avó,Não aplicável,Não aplicável,8,Antigo primário (elementar),8,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,18,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,78,Parda,Não,Não aplicável,Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,82,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,69,Parda,Não,Não aplicável,Não aplicável,Não,Sogro(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",5,Regular do ensino fundamental ou do 1º grau,5,6 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Mulher,56,Preta,Não,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,4,Antigo primário (elementar),4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,60,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,10,Branca,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  400,00 "," R$  400,00 ",4,Regular do ensino fundamental ou do 1º grau,4,4 anos de estudo,Conta-própria,Conta-própria," R$  400,00 "
Mulher,51,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.567,00 "
Homem,51,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,17,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,67,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  900,00 "," R$  900,00 ",2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Conta-própria,Conta-própria," R$  900,00 "
Mulher,63,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,51,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  6.000,00 "," R$  6.000,00 ",1,Superior - graduação,1,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  6.000,00 "
Mulher,43,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.300,00 "," R$  1.300,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.300,00 "
Homem,65,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,16,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  600,00 "," R$  600,00 ",4,Regular do ensino fundamental ou do 1º grau,4,2 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
Mulher,55,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,11,Parda,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,38,Preta,Sim,Não aplicável,Não aplicável,Não,Irmão ou irmã,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,13,Parda,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,71,Branca,Não,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,46,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  2.000,00 "," R$  2.000,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregador,Empregador," R$  600,00 "
Mulher,1,Indígena,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Parda,Não,Não aplicável,Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,9,Não aplicável,9,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,25,Parda,Sim,Não aplicável,Não aplicável,Sim,Enteado(a)," R$  800,00 "," R$  800,00 ",4,Superior - graduação,4,14 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  800,00 "
Homem,54,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.800,00 "," R$  1.800,00 ",3,Superior - graduação,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.800,00 "
Homem,12,Preta,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,36,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Superior - graduação,4,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Branca,Sim,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,56,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  8.000,00 "," R$  8.000,00 ",4,Especialização de nível superior,4,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  8.000,00 "
Homem,31,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  6.000,00 "," R$  6.000,00 ",4,Especialização de nível superior,4,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  6.000,00 "
